ID,present,WC_alt,WC_bio1,WC_bio2,ER_tri,ER_topoWet,lon,lat
1,1,109,5.599999904632568,9,16.6299991607666,11.140000343322754,-65.876631,45.343481
2,1,437,4,12.199999809265137,12.890000343322754,11.6899995803833,-90.672103,46.2557
3,1,45,5.599999904632568,8,12.380000114440918,11.270000457763672,-60.224608,45.97955
4,1,422,3.4000000953674316,10.699999809265137,4.96999979019165,12.600000381469727,-92.126795,46.949006
5,1,660,2.799999952316284,11.199999809265137,6.519999980926514,13.079999923706055,-113.560793,53.569246
6,1,419,2.5999999046325684,11.600000381469727,24.25,10.479999542236328,-73.914505,46.609372
7,1,801,2.0999999046325684,11.5,20.010000228881836,10.489999771118164,-124.576307,54.680961
8,1,317,3.299999952316284,9.600000381469727,41.2599983215332,9.819999694824219,-71.325792,46.926862
9,1,226,3.700000047683716,10.600000381469727,22.790000915527344,10.880000114440918,-84.390256,46.708386
10,1,1534,2.4000000953674316,12.800000190734863,66.54000091552734,8.90999984741211,-114.248369,49.414112
11,1,342,5,11.100000381469727,57.650001525878906,8.890000343322754,-72.612651,44.934599
12,1,313,4.900000095367432,11.199999809265137,7.460000038146973,12.199999809265137,-79.117632,45.071753
13,1,1145,4.5,10,164.05999755859375,7.420000076293945,-117.274053,49.501747
14,1,279,2,12.100000381469727,13.119999885559082,11.5600004196167,-89.2704,48.451387
15,1,210,2.200000047683716,9.600000381469727,17.389999389648438,11.0600004196167,-68.432372,48.289363
16,1,351,2.5,12.100000381469727,24.829999923706055,10.890000343322754,-89.574853,48.128472
17,1,129,5.699999809265137,10.100000381469727,3.990000009536743,12.600000381469727,-75.976889,45.197018
18,1,15,9.699999809265137,8.899999618530273,11.529999732971191,11.220000267028809,-122.601176,49.224672
19,1,298,7.900000095367432,11.199999809265137,26.06999969482422,10.680000305175781,-76.494082,42.452382
20,1,204,8.5,11.199999809265137,27.790000915527344,10.930000305175781,-76.553449,42.501591
21,1,45,5.599999904632568,8,12.380000114440918,11.270000457763672,-60.224776,45.97944
22,1,651,-1,11,14.180000305175781,10.65999984741211,-135.127299,60.777324
23,1,323,1.2000000476837158,12.300000190734863,8.949999809265137,11.850000381469727,-80.105657,48.109615
24,1,351,2.5,12.100000381469727,24.829999923706055,10.890000343322754,-89.542512,48.141347
25,1,351,2.5,12.100000381469727,24.829999923706055,10.890000343322754,-89.542512,48.141347
26,1,324,5.099999904632568,10.899999618530273,7.809999942779541,11.989999771118164,-78.731967,44.914457
27,1,45,5.599999904632568,8,12.380000114440918,11.270000457763672,-60.224803,45.97937
28,1,858,7.900000095367432,14.100000381469727,100.76000213623047,8.569999694824219,-117.449767,45.940362
29,1,385,4.400000095367432,10.899999618530273,21.350000381469727,10.789999961853027,-77.962681,45.106637
30,1,1838,4.300000190734863,16.100000381469727,29.450000762939453,10.180000305175781,-111.002156,42.920757
31,1,703,2.5,12,6.849999904632568,12.319999694824219,-114.010808,53.751673
32,1,182,6.300000190734863,8.699999809265137,3.819999933242798,13.260000228881836,-81.294156,44.826778
33,1,336,3.9000000953674316,10.699999809265137,26.93000030517578,10.880000114440918,-74.00576,45.988151
34,1,660,2.700000047683716,11.199999809265137,6.139999866485596,12.739999771118164,-113.4675,53.510556
35,1,677,7.900000095367432,12.699999809265137,24.3799991607666,10.65999984741211,-117.777806,48.018484
36,1,231,2,11.5,1.090000033378601,14.34000015258789,-96.819192,50.087078
37,1,1402,4.5,15.199999809265137,54.61000061035156,9.350000381469727,-113.043922,47.046008
38,1,1160,4.699999809265137,13,88.339996337890625,8.319999694824219,-113.982513,48.547592
39,1,56,8.100000381469727,12,5.800000190734863,12.170000076293945,-70.629484,43.394766
40,1,217,5.099999904632568,10.600000381469727,37.68000030517578,9.869999885559082,-64.956229,45.603822
41,1,82,6.199999809265137,9,10.550000190734863,11.329999923706055,-63.75675,44.653321
42,1,196,5.800000190734863,10.699999809265137,5.420000076293945,13.149999618530273,-79.973717,45.15992
43,1,198,6.099999904632568,10.399999618530273,15.920000076293945,11.859999656677246,-80.126822,44.75018
44,1,519,3.700000047683716,12.300000190734863,4.940000057220459,12.380000114440918,-89.491388,46.211194
45,1,513,3.700000047683716,12.300000190734863,5.550000190734863,12.399999618530273,-89.502396,46.237255
46,1,360,3.5,10.199999809265137,15.789999961853027,11.489999771118164,-91.643564,47.12816
47,1,185,4.099999904632568,11.399999618530273,15.59000015258789,11.229999542236328,-76.037442,46.149105
48,1,198,3.299999952316284,11,18.799999237060547,11.079999923706055,-79.441047,47.324913
49,1,660,2.799999952316284,11.199999809265137,6.519999980926514,13.079999923706055,-113.560793,53.569246
50,1,519,3.700000047683716,12.300000190734863,4.940000057220459,12.380000114440918,-89.491388,46.211194
51,1,504,3.700000047683716,12.300000190734863,6.880000114440918,12.270000457763672,-89.513196,46.255793
52,1,487,4.5,12.300000190734863,7.360000133514404,11.970000267028809,-89.567651,45.495082
53,1,487,4.5,12.300000190734863,7.360000133514404,11.970000267028809,-89.55502,45.478815
54,1,268,4.199999809265137,10.300000190734863,11.859999656677246,11.890000343322754,-81.074325,46.370895
55,1,141,5.699999809265137,10.300000190734863,3.1700000762939453,12.90999984741211,-76.116417,45.057342
56,1,311,0.6000000238418579,13.100000381469727,6.699999809265137,12.020000457763672,-81.021954,48.676455
57,1,201,2.5999999046325684,11.5,6.449999809265137,11.899999618530273,-79.697426,47.740238
58,1,504,3.700000047683716,12.300000190734863,6.880000114440918,12.270000457763672,-89.513196,46.255793
59,1,215,-3.200000047683716,10.600000381469727,30.93000030517578,11.350000381469727,-147.92682,64.88477
60,1,215,-3.200000047683716,10.600000381469727,30.93000030517578,11.350000381469727,-147.93146,64.8886
61,1,154,-3.4000000953674316,10.800000190734863,1.100000023841858,12.420000076293945,-147.3203,64.72558
62,1,154,-3.4000000953674316,10.800000190734863,1.100000023841858,12.420000076293945,-147.32086,64.72539
63,1,272,-3.700000047683716,9.800000190734863,30.350000381469727,10.149999618530273,-147.72633,65.07906
64,1,154,-3.4000000953674316,10.800000190734863,1.100000023841858,12.420000076293945,-147.3208,64.72581
65,1,154,-3.4000000953674316,10.800000190734863,1.100000023841858,12.420000076293945,-147.31947,64.72567
66,1,215,-3.200000047683716,10.600000381469727,30.93000030517578,11.350000381469727,-147.92708,64.88544
67,1,154,-3.4000000953674316,10.800000190734863,1.100000023841858,12.420000076293945,-147.3203,64.72558
68,1,144,-3.299999952316284,10.699999809265137,1.0399999618530273,12.579999923706055,-147.39075,64.82485
69,1,159,-3.0999999046325684,10.5,18.049999237060547,11.800000190734863,-147.73975,64.89325
70,1,159,-3.0999999046325684,10.5,18.049999237060547,11.800000190734863,-147.73975,64.89325
71,1,328,1,11.600000381469727,5.570000171661377,12.199999809265137,-77.831489,48.061061
72,1,180,7.800000190734863,9.5,2.7699999809265137,13.920000076293945,-81.811317,43.267445
73,1,327,1.100000023841858,11.600000381469727,8.899999618530273,11.960000038146973,-77.836626,48.062444
74,1,8,10,8.5,4.630000114440918,11.75,-123.084642,49.019672
75,1,766,-1.600000023841858,11.100000381469727,49.099998474121094,9.449999809265137,-134.896208,60.590328
